team_id,season_year,defense_int,fumbles_rcv,takeaways,passing_ints,fumbles_lost,giveaways,passing_tds,passing_yds,rushing_tds,rushing_yds,home_wins,away_wins,ties,total_wins
ARI,2009,21,11,32,18,18,36,28,4205,15,1489,4,6,0,10
ARI,2010,17,14,31,19,16,35,10,3264,9,1388,4,1,0,5
ARI,2011,10,13,23,23,9,32,21,3954,12,1625,6,2,0,8
ARI,2012,22,10,32,21,13,34,11,3383,10,1207,4,1,0,5
ARI,2013,20,10,30,22,9,31,24,4291,12,1540,6,4,0,10
ARI,2014,18,9,27,12,5,17,21,3990,6,1308,7,4,0,11
ARI,2015,19,8,27,13,11,24,35,4775,16,1917,6,7,0,13
ARI,2016,13,14,27,17,11,28,28,4429,20,1728,4,3,1,7.5
ARI,2017,9,6,15,10,6,16,14,2756,4,753,5,3,0,8
ATL,2009,15,9,24,17,8,25,26,3697,15,1876,6,3,0,9
ATL,2010,22,3,25,9,8,17,28,3725,14,1891,7,6,0,13
ATL,2011,19,2,21,13,8,21,29,4365,14,1834,6,4,0,10
ATL,2012,20,3,23,14,4,18,32,4719,12,1397,7,6,0,13
ATL,2013,10,4,14,17,11,28,26,4541,11,1247,3,1,0,4
ATL,2014,16,8,24,15,8,23,28,4758,11,1498,3,3,0,6
ATL,2015,15,12,27,17,13,30,21,4602,13,1611,4,4,0,8
ATL,2016,12,4,16,7,4,11,38,4960,20,1928,5,6,0,11
ATL,2017,2,6,8,8,4,12,15,2740,9,1198,5,5,0,10
BAL,2009,22,9,31,13,9,22,21,3637,22,2206,6,3,0,9
BAL,2010,19,8,27,10,10,20,25,3629,11,1831,7,5,0,12
BAL,2011,15,12,27,12,12,24,21,3629,15,1996,8,4,0,12
BAL,2012,13,8,21,11,5,16,22,3996,17,1900,6,4,0,10
BAL,2013,16,9,25,23,6,29,19,3914,7,1329,6,2,0,8
BAL,2014,11,5,16,12,8,20,27,3986,16,2016,6,4,0,10
BAL,2015,6,5,11,21,7,28,21,4449,8,1478,3,2,0,5
BAL,2016,18,11,29,16,7,23,20,4343,10,1458,6,2,0,8
BAL,2017,15,8,23,10,4,14,10,1786,6,1227,5,4,0,9
BUF,2009,28,11,39,19,11,30,17,2789,6,1867,3,3,0,6
BUF,2010,11,9,20,21,18,39,24,3363,6,1722,2,2,0,4
BUF,2011,21,10,31,25,5,30,24,3857,12,1908,5,1,0,6
BUF,2012,12,6,18,17,17,34,24,3430,12,2221,4,2,0,6
BUF,2013,23,17,40,15,12,27,16,3373,15,2307,4,2,0,6
BUF,2014,19,9,28,13,10,23,23,3856,7,1482,5,4,0,9
BUF,2015,17,15,32,9,10,19,23,3600,19,2432,5,3,0,8
BUF,2016,12,9,21,7,5,12,17,3250,29,2629,4,3,0,7
BUF,2017,12,6,18,3,4,7,12,1946,6,1108,6,3,0,9
CAR,2009,22,9,31,20,11,31,16,3070,18,2498,5,3,0,8
CAR,2010,17,15,32,21,16,37,9,2635,7,1846,2,0,0,2
CAR,2011,14,5,19,17,6,23,21,4089,26,2411,3,3,0,6
CAR,2012,11,10,21,12,9,21,19,3927,21,2087,3,4,0,7
CAR,2013,20,4,24,13,6,19,24,3379,14,2018,7,5,0,12
CAR,2014,14,14,28,12,11,23,23,3828,10,2033,4,3,1,7.5
CAR,2015,24,3,27,10,9,19,35,3873,19,2282,8,7,0,15
CAR,2016,17,2,19,19,10,29,21,3962,16,1814,4,2,0,6
CAR,2017,5,8,13,11,5,16,14,2417,10,1421,6,5,0,11
CHI,2009,13,18,31,27,7,34,27,3677,6,1491,5,2,0,7
CHI,2010,21,8,29,21,10,31,23,3397,10,1616,5,6,0,11
CHI,2011,20,13,33,20,9,29,18,3346,10,2016,5,3,0,8
CHI,2012,24,12,36,16,8,24,21,3298,11,1970,5,5,0,10
CHI,2013,19,11,30,13,10,23,32,4448,13,1862,5,3,0,8
CHI,2014,14,6,20,19,10,29,30,4035,8,1448,2,3,0,5
CHI,2015,8,7,15,12,9,21,21,3843,13,1851,1,5,0,6
CHI,2016,8,13,21,19,11,30,19,4139,10,1726,3,0,0,3
CHI,2017,4,9,13,9,9,18,9,1848,5,1100,3,2,0,5
CIN,2009,19,10,29,13,12,25,21,3134,9,2056,6,4,0,10
CIN,2010,16,7,23,20,14,34,26,3988,8,1522,3,1,0,4
CIN,2011,10,7,17,14,8,22,21,3507,10,1778,4,5,0,9
CIN,2012,14,8,22,16,10,26,28,3807,11,1745,4,6,0,10
CIN,2013,20,9,29,20,10,30,33,4321,14,1755,8,3,0,11
CIN,2014,20,8,28,17,9,26,20,3551,19,2147,5,5,1,10.5
CIN,2015,21,8,29,9,8,17,31,4104,18,1804,6,6,0,12
CIN,2016,17,10,27,8,9,17,18,4206,17,1769,4,2,1,6.5
CIN,2017,6,5,11,8,9,17,15,2218,4,783,4,3,0,7
CLE,2009,10,6,16,18,13,31,11,2255,10,2087,3,2,0,5
CLE,2010,19,18,37,18,11,29,13,3203,13,1647,3,2,0,5
CLE,2011,9,14,23,13,6,19,16,3300,4,1533,3,1,0,4
CLE,2012,17,12,29,18,8,26,16,3668,12,1594,4,1,0,5
CLE,2013,14,5,19,20,9,29,26,4372,4,1383,3,1,0,4
CLE,2014,21,9,30,16,7,23,12,3691,17,1708,4,3,0,7
CLE,2015,11,9,20,12,18,30,20,4156,5,1529,2,1,0,3
CLE,2016,10,11,21,12,11,23,15,3589,12,1607,1,0,0,1
CLE,2017,6,6,12,18,5,23,8,2287,9,1131,0,0,0,0
DAL,2009,11,7,18,9,10,19,26,4483,14,2103,6,5,0,11
DAL,2010,20,15,35,19,11,30,29,4208,10,1789,2,4,0,6
DAL,2011,15,14,29,12,9,21,33,4453,5,1807,5,3,0,8
DAL,2012,7,9,16,19,10,29,29,4992,8,1265,4,4,0,8
DAL,2013,15,8,23,12,8,20,33,4238,12,1507,5,3,0,8
DAL,2014,18,6,24,11,14,25,37,4008,16,2349,4,8,0,12
